,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
126,11,4150,4275.0,4400,0 days 06:40:00.000000000,0 days 07:00:00.000000000,0 days 07:20:00.000000000
126,85,850,1418.076923076923,3600,0 days 01:40:00.000000000,0 days 02:29:24.230769230,0 days 21:27:00.000000000
126,102,2800,4234.0,5800,0 days 09:20:00.000000000,0 days 14:35:00.000000000,0 days 19:25:00.000000000
126,152,1500,2056.6666666666665,3640,0 days 02:30:00.000000000,0 days 07:06:20.000000000,1 days 02:30:00.000000000
126,168,2300,4849.384615384615,9680,0 days 04:55:00.000000000,0 days 09:32:10.153846153,1 days 03:05:00.000000000
126,184,2790,3218.181818181818,3890,0 days 10:30:00.000000000,0 days 13:09:32.727272727,0 days 18:55:00.000000000
126,213,1100,2100.0,2750,0 days 02:00:00.000000000,0 days 03:52:18.000000000,0 days 10:51:00.000000000
126,227,3190,8125.0,12360,0 days 07:11:00.000000000,0 days 16:00:11.250000000,1 days 05:42:00.000000000
126,317,4900,8941.818181818182,13010,0 days 06:40:00.000000000,0 days 09:59:43.636363636,0 days 17:40:00.000000000
126,348,1800,3396.6666666666665,6000,0 days 03:00:00.000000000,0 days 08:36:40.000000000,0 days 18:25:00.000000000
126,434,3100,7533.666666666667,13350,0 days 05:22:00.000000000,0 days 08:49:12.000000000,0 days 16:01:00.000000000
126,453,2590,3672.4675324675327,6480,0 days 08:10:00.000000000,1 days 04:54:04.675324675,20 days 12:51:00.000000000
126,467,7900,26570.58823529412,35100,0 days 04:26:00.000000000,0 days 09:14:45.882352941,1 days 02:22:00.000000000
126,485,2600,5956.829268292683,11500,0 days 05:20:00.000000000,0 days 10:58:39.878048780,1 days 08:50:00.000000000
126,530,2300,4479.090909090909,8290,0 days 05:00:00.000000000,0 days 13:23:00.000000000,1 days 10:00:00.000000000
126,539,5250,5250.0,5250,0 days 06:20:00.000000000,0 days 06:20:00.000000000,0 days 06:20:00.000000000
126,541,2400,2600.0,3000,0 days 04:00:00.000000000,0 days 05:05:42.857142857,0 days 07:00:00.000000000
126,542,1600,3970.169491525424,7650,0 days 04:40:00.000000000,0 days 07:49:42.711864406,1 days 04:30:00.000000000
126,562,1450,2598.1481481481483,4650,0 days 03:00:00.000000000,0 days 04:08:47.070707070,1 days 08:20:00.000000000
126,585,2100,5465.833333333333,8250,0 days 05:40:00.000000000,0 days 12:48:30.000000000,1 days 10:15:00.000000000
126,587,1300,1624.3478260869565,3530,0 days 01:50:00.000000000,0 days 05:42:41.739130434,1 days 08:10:00.000000000
126,628,1790,4363.492063492064,10900,0 days 02:47:00.000000000,0 days 06:54:10.769230769,1 days 09:39:00.000000000
126,638,700,1018.918918918919,1300,0 days 01:20:00.000000000,0 days 01:43:47.027027027,0 days 03:10:00.000000000
126,657,1200,1831.6666666666667,2490,0 days 02:40:00.000000000,0 days 04:53:45.000000000,0 days 18:25:00.000000000
126,697,1890,3287.6785714285716,6100,0 days 04:30:00.000000000,0 days 05:47:19.285714285,0 days 09:10:00.000000000
126,714,5150,8240.0,12900,0 days 07:00:00.000000000,0 days 12:09:37.500000000,1 days 04:06:00.000000000
126,737,2000,8205.0,20100,0 days 05:08:00.000000000,0 days 12:18:45.000000000,0 days 23:55:00.000000000
126,845,1200,1845.2054794520548,6170,0 days 02:00:00.000000000,0 days 02:58:18.082191780,1 days 17:45:00.000000000
126,872,2400,7339.375,12300,0 days 05:51:00.000000000,0 days 13:18:48.750000000,0 days 23:37:00.000000000
126,1061,3890,12718.97435897436,21000,0 days 04:39:00.000000000,0 days 09:50:09.230769230,1 days 05:20:00.000000000
126,1088,6490,6690.0,6890,0 days 20:35:00.000000000,0 days 23:25:00.000000000,1 days 02:15:00.000000000
126,2087,9500,9966.666666666666,10700,0 days 20:50:00.000000000,1 days 00:06:40.000000000,1 days 04:00:00.000000000
126,2181,3350,4429.411764705882,5450,0 days 05:20:00.000000000,0 days 06:13:31.764705882,0 days 10:00:00.000000000
126,2621,5900,7898.0,9200,0 days 08:20:00.000000000,0 days 16:12:00.000000000,0 days 19:30:00.000000000
126,5517,1450,2070.0,3460,0 days 02:00:00.000000000,0 days 04:24:30.000000000,0 days 11:33:00.000000000
126,5527,4400,5390.0,5900,0 days 07:50:00.000000000,0 days 14:17:00.000000000,1 days 14:05:00.000000000
126,6031,2400,3724.285714285714,5620,0 days 03:50:00.000000000,0 days 05:41:00.000000000,0 days 12:50:00.000000000
126,6135,4190,9583.333333333334,12790,0 days 04:18:00.000000000,0 days 09:35:30.000000000,0 days 20:45:00.000000000
126,7330,2400,3063.3333333333335,3690,0 days 12:25:00.000000000,0 days 18:20:00.000000000,1 days 05:35:00.000000000
126,7603,2900,6272.093023255814,11100,0 days 03:10:00.000000000,0 days 08:01:40.465116279,1 days 03:27:00.000000000
126,7779,1630,2074.4444444444443,2770,0 days 01:05:00.000000000,0 days 07:01:26.666666666,0 days 15:28:00.000000000
126,8250,3600,4100.0,4550,0 days 05:50:00.000000000,0 days 07:02:30.000000000,0 days 09:30:00.000000000
126,8317,2400,3458.0,5960,0 days 03:50:00.000000000,0 days 04:53:48.000000000,0 days 06:12:00.000000000
126,12190,3690,5022.5,7200,0 days 10:10:00.000000000,0 days 12:37:30.000000000,0 days 17:20:00.000000000
132,46,850,2993.3333333333335,3440,0 days 01:30:00.000000000,0 days 05:19:02.500000000,1 days 02:10:00.000000000
132,1038,9020,9553.333333333334,10320,0 days 09:11:00.000000000,0 days 09:44:40.000000000,0 days 10:33:00.000000000
134,23,2800,3554.0,4490,0 days 12:10:00.000000000,0 days 15:47:30.000000000,1 days 03:15:00.000000000
134,192,1200,2100.8333333333335,3790,0 days 01:07:00.000000000,0 days 07:40:00.000000000,1 days 04:50:00.000000000
134,227,1700,4014.5,5480,0 days 03:25:00.000000000,0 days 07:38:00.000000000,1 days 01:15:00.000000000
134,467,4190,13037.32142857143,27100,0 days 04:41:00.000000000,0 days 11:45:32.678571428,1 days 01:35:00.000000000
134,485,1000,3095.128205128205,6500,0 days 03:20:00.000000000,0 days 09:22:04.615384615,1 days 07:00:00.000000000
134,628,1650,3303.125,8640,0 days 02:02:00.000000000,0 days 06:12:56.250000000,1 days 02:12:00.000000000
143,628,4780,4780.0,4780,0 days 16:45:00.000000000,0 days 16:45:00.000000000,0 days 16:45:00.000000000
147,188,5350,5350.0,5350,0 days 07:50:00.000000000,0 days 07:50:00.000000000,0 days 07:50:00.000000000
147,845,2880,3590.0,4300,0 days 07:00:00.000000000,0 days 19:15:00.000000000,1 days 07:30:00.000000000
148,23,7200,8030.0,8970,0 days 21:00:00.000000000,1 days 01:27:00.000000000,1 days 06:10:00.000000000
148,451,4100,8337.777777777777,14000,0 days 07:41:00.000000000,0 days 12:18:33.333333333,0 days 20:10:00.000000000
148,876,950,2318.4210526315787,6000,0 days 01:50:00.000000000,0 days 03:05:37.894736842,0 days 06:00:00.000000000
148,1088,8180,8280.0,8380,0 days 18:30:00.000000000,0 days 19:22:30.000000000,0 days 20:15:00.000000000
148,2181,4050,4050.0,4050,0 days 05:50:00.000000000,0 days 05:50:00.000000000,0 days 05:50:00.000000000
152,33,2200,2350.0,2500,0 days 08:25:00.000000000,0 days 08:25:00.000000000,0 days 08:25:00.000000000
152,54,2300,2350.0,2400,0 days 10:10:00.000000000,0 days 11:20:00.000000000,0 days 12:30:00.000000000
152,109,2390,4476.0,7800,0 days 07:40:00.000000000,0 days 13:33:36.000000000,0 days 23:30:00.000000000
152,197,2380,4185.714285714285,5490,0 days 10:50:00.000000000,0 days 20:32:08.571428571,1 days 05:35:00.000000000
152,200,1300,1300.0,1300,0 days 02:00:00.000000000,0 days 02:00:00.000000000,0 days 02:00:00.000000000
152,485,1880,2682.7272727272725,3100,0 days 04:00:00.000000000,0 days 05:16:21.818181818,0 days 07:25:00.000000000
152,504,1600,4572.5,9360,0 days 07:40:00.000000000,0 days 16:24:15.000000000,1 days 07:37:00.000000000
152,542,1800,4184.705882352941,7560,0 days 06:01:00.000000000,0 days 15:48:45.882352941,1 days 06:01:00.000000000
